,Date,spx_Open,spx_High,spx_Low,spx_Close,spx_Adj Close,spx_Volume,vix_3m_Open,vix_3m_High,vix_3m_Low,vix_3m_Close,vix_6m_Open,vix_6m_High,vix_6m_Low,vix_6m_Close,vix_9d_Open,vix_9d_High,vix_9d_Low,vix_9d_Close,vix_cur_Open,vix_cur_High,vix_cur_Low,vix_cur_Close
0,2004-01-02,1111.920044,1118.849976,1105.079956,1108.47998,1108.47998,1153200000,,,,,,,,,,,,,17.96,18.68,17.54,18.22
1,2004-01-05,1108.47998,1122.219971,1108.47998,1122.219971,1122.219971,1578200000,,,,,,,,,,,,,18.45,18.49,17.44,17.49
2,2004-01-06,1122.219971,1124.459961,1118.439941,1123.670044,1123.670044,1494500000,,,,,,,,,,,,,17.66,17.67,16.19,16.73
3,2004-01-07,1123.670044,1126.329956,1116.449951,1126.329956,1126.329956,1704900000,,,,,,,,,,,,,16.72,16.75,15.5,15.5
4,2004-01-08,1126.329956,1131.920044,1124.910034,1131.920044,1131.920044,1868400000,,,,,,,,,,,,,15.42,15.68,15.32,15.61
5,2004-01-09,1131.920044,1131.920044,1120.900024,1121.859985,1121.859985,1720700000,,,,,,,,,,,,,16.15,16.88,15.57,16.75
6,2004-01-12,1121.859985,1127.849976,1120.900024,1127.22998,1127.22998,1510200000,,,,,,,,,,,,,17.32,17.46,16.79,16.82
7,2004-01-13,1127.22998,1129.069946,1115.189941,1121.219971,1121.219971,1595900000,,,,,,,,,,,,,16.6,18.33,16.53,18.04
8,2004-01-14,1121.219971,1130.75,1121.219971,1130.52002,1130.52002,1514600000,,,,,,,,,,,,,17.29,17.3,16.4,16.75
9,2004-01-15,1130.52002,1137.109985,1124.540039,1132.050049,1132.050049,1695000000,,,,,,,,,,,,,17.07,17.31,15.49,15.56
10,2004-01-16,1132.050049,1139.829956,1132.050049,1139.829956,1139.829956,1721100000,,,,,,,,,,,,,15.4,15.44,14.9,15.0
11,2004-01-20,1139.829956,1142.930054,1135.400024,1138.77002,1138.77002,1698200000,,,,,,,,,,,,,15.77,16.13,15.09,15.21
12,2004-01-21,1138.77002,1149.209961,1134.619995,1147.619995,1147.619995,1757600000,,,,,,,,,,,,,15.63,15.63,14.24,14.34
13,2004-01-22,1147.619995,1150.51001,1143.01001,1143.939941,1143.939941,1693700000,,,,,,,,,,,,,14.2,14.87,14.01,14.71
14,2004-01-23,1143.939941,1150.310059,1136.849976,1141.550049,1141.550049,1561200000,,,,,,,,,,,,,14.73,15.05,14.56,14.84
15,2004-01-26,1141.550049,1155.380005,1141.0,1155.369995,1155.369995,1480600000,,,,,,,,,,,,,15.78,15.78,14.52,14.55
16,2004-01-27,1155.369995,1155.369995,1144.050049,1144.050049,1144.050049,1673100000,,,,,,,,,,,,,15.28,15.44,14.74,15.35
17,2004-01-28,1144.050049,1149.140015,1126.5,1128.47998,1128.47998,1842000000,,,,,,,,,,,,,15.37,17.06,15.29,16.78
18,2004-01-29,1128.47998,1134.390015,1122.380005,1134.109985,1134.109985,1921900000,,,,,,,,,,,,,16.88,17.66,16.79,17.14
19,2004-01-30,1134.109985,1134.170044,1127.72998,1131.130005,1131.130005,1635000000,,,,,,,,,,,,,16.55,17.35,16.55,16.63
20,2004-02-02,1131.130005,1142.449951,1127.869995,1135.26001,1135.26001,1599200000,,,,,,,,,,,,,17.45,17.56,16.67,17.11
21,2004-02-03,1135.26001,1137.439941,1131.329956,1136.030029,1136.030029,1476900000,,,,,,,,,,,,,17.29,17.78,17.17,17.34
22,2004-02-04,1136.030029,1136.030029,1124.73999,1126.52002,1126.52002,1634800000,,,,,,,,,,,,,17.84,18.06,17.46,17.87
23,2004-02-05,1126.52002,1131.170044,1124.439941,1128.589966,1128.589966,1566600000,,,,,,,,,,,,,17.91,17.99,17.6,17.71
24,2004-02-06,1128.589966,1142.790039,1128.390015,1142.76001,1142.76001,1477600000,,,,,,,,,,,,,17.71,17.71,15.94,16.0
25,2004-02-09,1142.76001,1144.459961,1139.209961,1139.810059,1139.810059,1303500000,,,,,,,,,,,,,16.54,16.82,16.12,16.39
26,2004-02-10,1139.810059,1147.02002,1138.699951,1145.540039,1145.540039,1403900000,,,,,,,,,,,,,16.41,16.76,15.84,15.94
27,2004-02-11,1145.540039,1158.890015,1142.329956,1157.76001,1157.76001,1699300000,,,,,,,,,,,,,15.9,16.16,15.26,15.39
28,2004-02-12,1157.76001,1157.76001,1151.439941,1152.109985,1152.109985,1464300000,,,,,,,,,,,,,15.36,15.72,15.23,15.31
29,2004-02-13,1152.109985,1156.880005,1143.23999,1145.810059,1145.810059,1329200000,,,,,,,,,,,,,15.12,16.03,14.86,15.58
30,2004-02-17,1145.810059,1158.97998,1145.810059,1156.98999,1156.98999,1396500000,,,,,,,,,,,,,15.63,15.96,15.32,15.4
31,2004-02-18,1156.98999,1157.400024,1149.540039,1151.819946,1151.819946,1382400000,,,,,,,,,,,,,15.51,15.76,15.3,15.59
32,2004-02-19,1151.819946,1158.569946,1146.849976,1147.060059,1147.060059,1562800000,,,,,,,,,,,,,15.33,15.97,15.2,15.8
33,2004-02-20,1147.060059,1149.810059,1139.0,1144.109985,1144.109985,1479600000,,,,,,,,,,,,,15.85,16.55,15.82,16.04
34,2004-02-23,1144.109985,1146.689941,1136.97998,1140.98999,1140.98999,1380400000,,,,,,,,,,,,,16.5,16.78,16.25,16.29
35,2004-02-24,1140.98999,1144.540039,1134.430054,1139.089966,1139.089966,1543600000,,,,,,,,,,,,,16.38,16.76,15.77,15.9
36,2004-02-25,1139.089966,1145.23999,1138.959961,1143.670044,1143.670044,1360700000,,,,,,,,,,,,,15.58,16.05,14.93,14.93
37,2004-02-26,1143.670044,1147.22998,1138.619995,1144.910034,1144.910034,1383900000,,,,,,,,,,,,,15.32,15.33,14.69,14.83
38,2004-02-27,1145.800049,1151.680054,1141.800049,1144.939941,1144.939941,1540400000,,,,,,,,,,,,,13.8,14.77,13.8,14.55
39,2004-03-01,1144.939941,1157.449951,1144.939941,1155.969971,1155.969971,1497100000,,,,,,,,,,,,,14.91,15.05,14.4,14.44
40,2004-03-02,1155.969971,1156.540039,1147.310059,1149.099976,1149.099976,1476000000,,,,,,,,,,,,,14.59,14.89,14.18,14.86
41,2004-03-03,1149.099976,1152.439941,1143.780029,1151.030029,1151.030029,1334500000,,,,,,,,,,,,,14.73,15.27,14.47,14.55
42,2004-03-04,1151.030029,1154.969971,1149.810059,1154.869995,1154.869995,1265800000,,,,,,,,,,,,,14.45,14.5,14.19,14.4
43,2004-03-05,1154.869995,1163.22998,1148.77002,1156.859985,1156.859985,1398200000,,,,,,,,,,,,,14.81,14.82,13.83,14.48
44,2004-03-08,1156.859985,1159.939941,1146.969971,1147.199951,1147.199951,1254400000,,,,,,,,,,,,,14.83,15.83,14.54,15.79
45,2004-03-09,1147.199951,1147.319946,1136.839966,1140.579956,1140.579956,1499400000,,,,,,,,,,,,,15.57,16.74,15.56,16.6
46,2004-03-10,1140.579956,1141.449951,1122.530029,1123.890015,1123.890015,1648400000,,,,,,,,,,,,,16.12,18.7,16.11,18.67
47,2004-03-11,1123.890015,1125.959961,1105.869995,1106.780029,1106.780029,1889900000,,,,,,,,,,,,,18.81,20.69,17.63,20.67
48,2004-03-12,1106.780029,1120.630005,1106.780029,1120.569946,1120.569946,1388500000,,,,,,,,,,,,,19.94,20.08,18.06,18.3
49,2004-03-15,1120.569946,1120.569946,1103.359985,1104.48999,1104.48999,1600600000,,,,,,,,,,,,,18.98,21.39,18.86,21.13
50,2004-03-16,1104.48999,1113.76001,1102.609985,1110.699951,1110.699951,1500700000,,,,,,,,,,,,,20.27,20.94,19.86,20.34
51,2004-03-17,1110.699951,1125.76001,1110.699951,1123.75,1123.75,1490100000,,,,,,,,,,,,,19.54,19.55,17.98,18.11
52,2004-03-18,1123.75,1125.5,1113.25,1122.319946,1122.319946,1369200000,,,,,,,,,,,,,18.38,19.23,18.35,18.53
53,2004-03-19,1122.319946,1122.719971,1109.689941,1109.780029,1109.780029,1457400000,,,,,,,,,,,,,17.98,19.25,17.89,19.15
54,2004-03-22,1109.780029,1109.780029,1089.540039,1095.400024,1095.400024,1452300000,,,,,,,,,,,,,20.61,22.67,20.61,21.58
55,2004-03-23,1095.400024,1101.52002,1091.569946,1093.949951,1093.949951,1458200000,,,,,,,,,,,,,21.06,21.33,20.01,20.67
56,2004-03-24,1093.949951,1098.319946,1087.160034,1091.329956,1091.329956,1527800000,,,,,,,,,,,,,20.24,20.83,19.45,19.81
