Date,spx_Close,spx_Adj Close,vix_3m_Close,vix_6m_Close,vix_9d_Close,vix_cur_Close,total_users_holding,avg_users_holding_ln_ret,avg_users_holding_pct_chg
11/27/2013,1807.22998,1807.22998,14.6,16.65,11.66,12.98,,,
11/29/2013,1805.810059,1805.810059,15.03,16.86,13.59,13.7,,,
12/2/2013,1800.900024,1800.900024,15.19,17.05,14.3,14.23,,,
12/3/2013,1795.150024,1795.150024,15.49,17.27,14.68,14.55,,,
12/4/2013,1792.810059,1792.810059,15.57,17.3,14.71,14.7,,,
12/5/2013,1785.030029,1785.030029,15.78,17.32,15.42,15.08,,,
12/6/2013,1805.089966,1805.089966,14.95,16.61,12.7,13.79,,,
12/9/2013,1808.369995,1808.369995,14.93,16.58,13.52,13.49,,,
12/10/2013,1802.619995,1802.619995,15.22,16.75,14.65,13.91,,,
12/11/2013,1782.219971,1782.219971,15.99,17.31,17.36,15.42,,,
12/12/2013,1775.5,1775.5,16.12,17.36,16.61,15.54,,,
12/13/2013,1775.319946,1775.319946,16.27,17.51,17.23,15.76,,,
12/16/2013,1786.540039,1786.540039,16.39,17.68,17.12,16.03,,,
12/17/2013,1781,1781,16.5,17.7,17.06,16.21,,,
12/18/2013,1810.650024,1810.650024,14.99,16.67,12.95,13.8,,,
12/19/2013,1809.599976,1809.599976,15.28,16.88,12.78,14.15,,,
12/20/2013,1818.319946,1818.319946,15.01,16.63,12.73,13.79,,,
12/23/2013,1827.98999,1827.98999,14.52,16.37,12.23,13.04,,,
12/24/2013,1833.319946,1833.319946,14.24,16.12,11.11,12.48,,,
12/26/2013,1842.02002,1842.02002,14.03,16.03,10.92,12.33,,,
12/27/2013,1841.400024,1841.400024,13.98,16.05,11.48,12.46,,,
12/30/2013,1841.069946,1841.069946,14.77,16.46,12.99,13.56,,,
12/31/2013,1848.359985,1848.359985,14.77,16.31,13.75,13.72,,,
1/2/2014,1831.97998,1831.97998,15.26,16.74,13.83,14.23,,,
1/3/2014,1831.369995,1831.369995,15.09,16.68,12.17,13.76,,,
1/6/2014,1826.77002,1826.77002,14.82,16.46,12.51,13.55,,,
1/7/2014,1837.880005,1837.880005,14.41,15.98,11.57,12.92,,,
1/8/2014,1837.48999,1837.48999,14.29,15.94,11.62,12.87,,,
