Date,spx_Close,spx_Adj Close,vix_3m_Close,vix_6m_Close,vix_9d_Close,vix_cur_Close
2013-11-27,1807.22998,1807.22998,14.6,16.65,11.66,12.98
2013-11-29,1805.810059,1805.810059,15.03,16.86,13.59,13.7
2013-12-02,1800.9000239999998,1800.9000239999998,15.19,17.05,14.3,14.23
2013-12-03,1795.1500239999998,1795.1500239999998,15.49,17.27,14.68,14.55
2013-12-04,1792.810059,1792.810059,15.57,17.3,14.71,14.7
2013-12-05,1785.030029,1785.030029,15.78,17.32,15.42,15.08
2013-12-06,1805.089966,1805.089966,14.95,16.61,12.7,13.79
2013-12-09,1808.369995,1808.369995,14.93,16.58,13.52,13.49
2013-12-10,1802.619995,1802.619995,15.22,16.75,14.65,13.91
2013-12-11,1782.219971,1782.219971,15.99,17.31,17.36,15.42
2013-12-12,1775.5,1775.5,16.12,17.36,16.61,15.54
2013-12-13,1775.319946,1775.319946,16.27,17.51,17.23,15.76
2013-12-16,1786.540039,1786.540039,16.39,17.68,17.12,16.03
2013-12-17,1781.0,1781.0,16.5,17.7,17.06,16.21
2013-12-18,1810.650024,1810.650024,14.99,16.67,12.95,13.8
2013-12-19,1809.599976,1809.599976,15.28,16.88,12.78,14.15
2013-12-20,1818.319946,1818.319946,15.01,16.63,12.73,13.79
2013-12-23,1827.98999,1827.98999,14.52,16.37,12.23,13.04
2013-12-24,1833.319946,1833.319946,14.24,16.12,11.11,12.48
2013-12-26,1842.02002,1842.02002,14.03,16.03,10.92,12.33
2013-12-27,1841.400024,1841.400024,13.98,16.05,11.48,12.46
2013-12-30,1841.069946,1841.069946,14.77,16.46,12.99,13.56
2013-12-31,1848.359985,1848.359985,14.77,16.31,13.75,13.72
2014-01-02,1831.97998,1831.97998,15.26,16.74,13.83,14.23
2014-01-03,1831.369995,1831.369995,15.09,16.68,12.17,13.76
2014-01-06,1826.77002,1826.77002,14.82,16.46,12.51,13.55
2014-01-07,1837.880005,1837.880005,14.41,15.98,11.57,12.92
2014-01-08,1837.48999,1837.48999,14.29,15.94,11.62,12.87
2014-01-09,1838.130005,1838.130005,14.29,16.12,11.75,12.89
2014-01-10,1842.369995,1842.369995,13.94,15.7,9.97,12.14
2014-01-13,1819.199951,1819.199951,14.98,16.42,13.09,13.28
2014-01-14,1838.880005,1838.880005,14.49,16.14,11.31,12.28
2014-01-15,1848.380005,1848.380005,14.46,16.1,10.64,12.28
2014-01-16,1845.890015,1845.890015,14.69,16.35,11.09,12.53
2014-01-17,1838.699951,1838.699951,14.63,16.34,11.46,12.44
2014-01-21,1843.800049,1843.800049,14.62,16.22,12.46,12.87
2014-01-22,1844.859985,1844.859985,14.47,16.14,12.3,12.84
2014-01-23,1828.459961,1828.459961,14.98,16.37,14.21,13.77
2014-01-24,1790.290039,1790.290039,17.4,18.18,20.84,18.14
2014-01-27,1781.560059,1781.560059,17.13,18.0,19.04,17.42
2014-01-28,1792.5,1792.5,16.2,17.28,17.29,15.8
2014-01-29,1774.199951,1774.199951,17.24,18.0,19.4,17.35
