Cboe data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  Your use of Cboe data is subject to the Terms and Conditions of Cboe Websites.,,,,
Cboe S&P 500 3-Month Volatility Index (VIX3M),,,,
,OPEN,HIGH,LOW,CLOSE
12/4/2007,24.8,25.01,24.15,24.65
12/5/2007,23.82,23.84,22.91,23.33
12/6/2007,23.43,23.49,20.34,22.1
12/7/2007,21.92,22.32,21.67,22.18
12/10/2007,22.24,22.45,21.7,21.93
12/11/2007,21.93,24.2,21.31,24.12
12/12/2007,22.07,24.39,21.87,23.29
12/13/2007,23.99,24.49,23.41,23.52
12/14/2007,24.35,24.35,23.45,24.21
12/17/2007,24.66,25.73,24.59,25.53
12/18/2007,24.89,25.8,24.44,24.67
12/19/2007,24.67,24.69,23.6,23.81
12/20/2007,23.19,23.97,22.87,22.87
12/21/2007,22.21,22.29,21.47,21.5
12/24/2007,21.37,21.57,21.07,21.14
12/26/2007,21.41,21.43,20.9,20.93
12/27/2007,21.2,22.22,21.2,22.05
12/28/2007,21.63,22.71,21.52,22.56
12/31/2007,22.84,23.41,22.79,23.31
1/2/2008,23.1,24.1,23.04,23.6
1/3/2008,23.47,23.57,22.71,22.81
1/4/2008,23.36,23.88,23.32,23.69
1/7/2008,23.57,23.89,23.02,23.22
1/8/2008,23.86,25.63,23.45,25.49
1/9/2008,25.51,25.7,24.15,24.5
1/10/2008,24.85,24.9,23.46,23.95
1/11/2008,24.33,24.9,23.97,24.5
1/14/2008,24.25,24.44,23.59,23.67
1/15/2008,24.49,24.87,24.04,24.39
1/16/2008,24.7,24.7,23.62,24.36
1/17/2008,24.23,26.52,24.11,26.44
1/18/2008,26.04,27.07,24.55,25.99
1/22/2008,30.22,30.29,26.22,27.39
1/23/2008,28.95,29.23,22.45,26.25
1/24/2008,25.89,26.41,25.5,26
1/25/2008,25.23,27.2,24.95,26.86
1/28/2008,26.9,27.27,25.83,25.97
1/29/2008,25.34,25.94,25.33,25.65
1/30/2008,25.74,26.18,24.22,26.08
1/31/2008,26.72,26.83,24.61,25.21
2/1/2008,24.94,25.09,24.1,24.11
2/4/2008,24.44,25.38,24.34,25.36
2/5/2008,26.06,27.19,26,26.99
2/6/2008,26.63,27.8,26.24,27.61
2/7/2008,27.89,28.07,26.23,26.74
2/8/2008,26.97,27.87,26.45,27.06
2/11/2008,27.34,27.73,26.47,26.67
2/12/2008,25.66,26.45,25.39,26.11
2/13/2008,25.64,25.92,25.01,25.29
2/14/2008,25.11,25.86,24.99,25.47
2/15/2008,25.63,25.91,25.16,25.44
2/19/2008,25.14,25.64,22.13,25.47
2/20/2008,26.1,26.24,24.59,24.67
2/21/2008,24.79,25.31,24.1,25.09
2/22/2008,25.04,25.66,24.38,24.4
2/25/2008,24.7,24.9,23.66,23.93
2/26/2008,24.03,24.05,22.74,23.11
2/27/2008,23.46,23.74,22.9,23.69
2/28/2008,24.04,24.31,23.63,24.29
2/29/2008,24.76,26.58,24.72,26.39
3/3/2008,27.01,27.27,26.07,26.08
3/4/2008,26.61,26.91,25.71,25.76
3/5/2008,25.65,25.97,24.49,24.91
3/6/2008,25.24,27.28,25.23,27
3/7/2008,27.56,28.1,26.25,27.11
3/10/2008,27.44,29.11,26.8,28.33
3/11/2008,26.41,27.6,26.09,26.09
3/12/2008,26.17,27.38,25.49,27.37
3/13/2008,28.26,29.11,26.19,27.18
3/14/2008,27.11,30.26,26.15,29.36
3/17/2008,31.22,31.65,28.67,29.58
3/18/2008,27.95,28.06,25.89,26.01
3/19/2008,25.88,28.87,25.45,28.78
3/20/2008,28.66,50.29,26.51,27.29
3/24/2008,26.97,26.98,25.38,25.96
3/25/2008,26.11,26.51,25.74,26.18
3/26/2008,26.38,26.85,26.08,26.61
3/27/2008,26.13,26.54,25.7,26.28
3/28/2008,26.18,26.35,25.67,26.24
3/31/2008,26.58,26.62,25.49,25.64
4/1/2008,24.89,24.89,23.53,23.61
4/2/2008,23.59,24.45,23.38,24.3
4/3/2008,24.57,24.87,23.94,24.12
4/4/2008,24.01,24.27,23.09,23.52
4/7/2008,23.38,23.44,22.28,23.2
4/8/2008,23.46,23.67,23.07,23.07
4/9/2008,23.15,24.07,23.13,23.55
4/10/2008,23.73,23.86,22.85,23.06
4/11/2008,23.81,24.35,23.45,24.19
4/14/2008,24.63,24.74,24.28,24.41
4/15/2008,24.06,24.47,23.65,23.7
4/16/2008,22.98,23.03,21.8,21.82
4/17/2008,22.16,22.52,21.72,21.75
4/18/2008,21.13,21.37,20.84,21.37
4/21/2008,21.76,21.77,21.34,21.46
4/22/2008,21.67,22.29,21.55,21.8
4/23/2008,21.65,22,21.22,21.58
4/24/2008,21.43,21.83,20.48,21.18
4/25/2008,20.76,21.33,20.42,20.58
4/28/2008,20.68,20.81,20.16,20.41
4/29/2008,20.51,21.01,20.37,20.82
4/30/2008,20.75,21.26,20.3,21.25
5/1/2008,21.28,21.32,19.77,19.78
5/2/2008,19.3,20.07,19.3,19.53
5/5/2008,19.7,20.22,19.4,20.02
5/6/2008,20.36,20.59,19.68,19.75
5/7/2008,19.92,21.13,19.88,20.96
5/8/2008,20.79,21.09,20.49,20.88
5/9/2008,21.2,21.22,20.77,20.87
5/12/2008,21.07,21.26,19.97,20.24
5/13/2008,20.11,20.54,20.03,20.15
5/14/2008,20.03,20.05,19.31,20
5/15/2008,20.02,20.09,19.28,19.28
5/16/2008,19.23,20.22,19.23,19.57
5/19/2008,19.97,20.12,19.11,19.84
5/20/2008,20.28,21.24,20.28,20.81
